category_id,category_name
60,Личные вещи
39,Недвижимость
34,Транспорт
52,Хобби и отдых
258937750001,Работа
25,Электроника
250003,Работа
54,Недвижимость
19,Недвижимость
59,Животные
14,Транспорт
37,Хобби и отдых
1,Для дома и дачи
7,Хобби и отдых
55,Готовый бизнес и оборудование
49,Животные
22,Личные вещи
3,Для дома и дачи
250005,Услуги
47,Личные вещи
2,Электроника
4,Хобби и отдых
6,Недвижимость
17,Электроника
38,Для дома и дачи
46,Животные
750001,Услуги
56487750001,Транспорт
31,Животные
57,Личные вещи
36,Электроника
250004,Работа
18,Хобби и отдых
51,Электроника
482996500001,Путешествия
20,Животные
27,Для дома и дачи
24,Undefined
11,Личные вещи
45,Животные
30,Недвижимость
41,Электроника
8,Хобби и отдых
10,Животные
26,Электроника
50,Для дома и дачи
44,Электроника
500001,Готовый бизнес и оборудование
250002,Услуги
58,Транспорт
29,Электроника
35,Для дома и дачи
48,Транспорт
23,Транспорт
43,Транспорт
16,Хобби и отдых
33,Недвижимость
482996000001,Путешествия
5,Хобби и отдых
13,Электроника
32,Недвижимость
42,Недвижимость
250001,Услуги
53,Готовый бизнес и оборудование
250006,Работа
15,Хобби и отдых
28,Личные вещи
12,Транспорт
9,Для дома и дачи
